06:16 hrs: James Bond clearing out to Home.
06:16 hrs: James Bond clearing in from Home.
06:23 hrs: Amos Foong clearing out to Home.
06:24 hrs: Amos Foong clearing in from Home.
06:24 hrs: Amos Foong clearing out to University.
06:25 hrs: A clearing out to B.
06:25 hrs:  clearing out to Ad.
06:37 hrs: Amos Foong clearing out to Home.
06:37 hrs: James D clearing out to University.
06:38 hrs: Amos clearing out to Fkbas.
06:44 hrs: fdbfadgvgasd clearing out to fsadfasdf.
06:44 hrs: asdfasdf clearing out to asdfasdf.
06:44 hrs: asdfasdf clearing out to asdfasdf.
06:44 hrs: asdfasdf clearing out to asdfasdF.
06:44 hrs: sadfasdf clearing out to asdFasDF.
06:44 hrs: SDFSADf clearing out to asdfasdf.
07:00 hrs: casd clearing out to sacas.
07:00 hrs: dasd clearing out to asdas.
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to sd.
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
07:09 hrs:  clearing out to .
